refrigerant_key,ashrae_name,chemical_name,chemical_formula,compound_type,safety_group,odp,gwp,category,primary_oil,status,color_hex,boiling_point_c,critical_temp_c,critical_pressure_bar,description,pros,cons,alternatives,true_replacement
11,R-600,Butano normal,CH3CH2CH2CH3,HC,A3,0.0,4.0,Basic,Mineral,Active,#27AE60,-0.5,152.0,38.0,Butano de uso termodinámico. Utilizado principalmente en mezclas de refrigeración y en algunas heladeras especializadas.,"Cero impacto ambiental, excelente lubricidad con aceite mineral.","Punto de ebullición muy alto, inflamable (A3).",R-600a,R-600a
12,R-1234yf,"2,3,3,3-Tetrafluoropropeno",CF3CF=CH2,HFO,A2L,0.0,1.0,Basic,PAG/POE,Active,#1ABC9C,-29.4,94.7,33.8,Hidrofluoroolefina de cuarta generación de ultra-bajo GWP. Es el reemplazo oficial obligatorio del R-134a en el aire acondicionado automotriz.,"GWP de 1, alta eficiencia termodinámica, rápida descomposición en la atmósfera.",Ligeramente inflamable (A2L). Genera trazas menores de TFA (ácido trifluoroacético).,R-744 (CO2 en autos),Ninguno (Es la HFO de ultra bajo GWP definitiva en automoción)
13,R-415B,Mezcla de R-22 e R-152a,Mezcla zeotrópica,Blend,A2,0.01,1500.0,Basic,Mineral/AB,Phased Out,#F1C40F,-30.0,102.0,45.0,Mezcla de transición de escaso uso masivo pero común en áreas de desarrollo para reconversiones rápidas.,Presión compatible con R-12 y R-134a.,Ligeramente inflamable y con impacto de ozono remanente.,R-134a,R-134a
14,R-424A,Mezcla RS-44,Mezcla zeotrópica HFC,HFC,A1,0.0,2440.0,Basic,Mineral/POE,Phasing Down,#7FB3D5,-38.7,88.8,40.4,"Diseñado originalmente para aire acondicionado y refrigeración, se usa a veces como drop-in de baja temperatura.","No inflamable, compatible con aceites minerales clásicos.",GWP elevado.,"R-407C, R-427A",R-427A o R-407C
15,R-513A,Mezcla Opteon XP10 (R-134a/1234yf),Mezcla azeotrópica HFC/HFO,Blend,A1,0.0,573.0,Basic,POE,Active,#5DADE2,-29.2,96.5,37.6,Una mezcla azeotrópica diseñada para reemplazar de manera directa al R-134a reduciendo el GWP en un 56%.,"Clasificación de seguridad A1 (no inflamable), compatibilidad directa con equipos R-134a.",Su GWP sigue estando por encima de las alternativas naturales.,"R-290, R-1234yf",R-290 (Propano natural)
16,R-22,Clorodifluorometano,CHClF2,HCFC,A1,0.055,1810.0,Intermediate,Mineral/AB,Phased Out,#85C1E9,-40.8,96.1,49.9,El HCFC más utilizado a nivel mundial en aire acondicionado residencial y comercial ligero. Actualmente prohibido en equipos nuevos.,"Propiedades físicas excelentes, coste muy bajo históricamente.","Daña levemente la capa de ozono, alto potencial de calentamiento global.","R-407C, R-410A, R-427A, R-438A",R-407C (AC con cambio de aceite POE) o R-438A (Drop-in compatible con aceite mineral)
17,R-410A,Mezcla de R-32 e R-125,Mezcla cuasi-azeotrópica,HFC,A1,0.0,2088.0,Intermediate,POE,Phasing Down,#D35400,-51.4,71.4,49.0,El refrigerante líder para sistemas de aire acondicionado residencial (split) e industrial ligero de las últimas dos décadas.,"Gran capacidad frigorífica, equipos compactos gracias a su alta densidad.","Presiones de trabajo un 50% superiores a R-22, alto GWP.","R-32, R-454B",R-32 (Menor GWP en splits) o R-454B (Chillers de gran escala)
18,R-404A,Mezcla de R-125/143a/134a,Mezcla zeotrópica,HFC,A1,0.0,3922.0,Intermediate,POE,Phasing Down,#E67E22,-46.5,72.1,37.3,El caballo de batalla de la refrigeración de supermercados y transporte refrigerado. En rápido retroceso debido a regulaciones.,Rendimiento soberbio en congelados y temperaturas medias.,"GWP sumamente elevado (casi 4000), prohibido en la UE para nuevos sistemas grandes.","R-448A, R-449A, R-452A, R-290",R-448A / R-449A (HFO/HFC de bajo GWP) o R-744 (CO2 natural)
19,R-407C,Mezcla de R-32/125/134a,Mezcla zeotrópica,HFC,A1,0.0,1774.0,Intermediate,POE,Phasing Down,#884EA0,-43.8,86.0,46.3,"Reemplazo de R-22 en aire acondicionado. Posee presiones similares, pero requiere cambio a aceite sintético.","Presión y capacidad casi idénticas a R-22, sin toxicidad ni inflamabilidad.","Deslizamiento térmico (glide) significativo de unos 5°C, lo que complica la recarga ante fugas.","R-32, R-454B",R-32 o R-454B
20,R-507A,Mezcla azeotrópica (R-125/143a),Mezcla azeotrópica,HFC,A1,0.0,3985.0,Intermediate,POE,Phasing Down,#9B59B6,-46.7,70.6,37.9,"Equivalente azeotrópico de R-404A, preferido por algunos fabricantes de compresores debido a su nulo deslizamiento de temperatura.","Cero glide, excelente rendimiento térmico estable a bajas temperaturas.",GWP extremadamente alto.,"R-448A, R-449A",R-448A / R-449A
21,R-32,Difluorometano,CH2F2,HFC,A2L,0.0,675.0,Intermediate,POE,Active,#27AE60,-51.7,78.1,57.8,HFC puro de bajo GWP. Convertido en el refrigerante dominante en aire acondicionado split moderno en reemplazo de R-410A.,"GWP un 68% menor que R-410A, excelente coeficiente de transferencia de calor y menor volumen de carga.","Ligeramente inflamable (A2L), temperaturas de descarga muy altas en climas extremos.","R-454B, R-290",R-454B o R-290 (Alternativas de menor GWP)
22,R-407A,Mezcla zeotrópica HFC,Mezcla R-32/125/134a,HFC,A1,0.0,2107.0,Intermediate,POE,Phasing Down,#7D3C98,-45.0,82.0,45.0,Una alternativa para la reconversión de R-502 y R-22 en sistemas de refrigeración de supermercados.,Menor GWP que R-404A con buen rendimiento frigorífico.,Elevado glide térmico.,"R-448A, R-449A",R-448A o R-449A
23,R-407F,Mezcla Performax LT,Mezcla R-32/125/134a,HFC,A1,0.0,1825.0,Intermediate,POE,Phasing Down,#6C3483,-46.1,82.6,47.6,Opción de readaptación directa de R-404A/R-507A que reduce el consumo eléctrico y las emisiones de carbono.,Reduce a la mitad el GWP del R-404A y ofrece excelente capacidad frigorífica.,Mayor temperatura de descarga del compresor.,R-448A,R-448A
24,R-422D,Mezcla Isceon MO29,Mezcla R-125/134a/600a,HFC,A1,0.0,2729.0,Intermediate,Mineral/POE,Phasing Down,#AEB6BF,-43.0,79.6,39.0,"Reemplazo rápido tipo drop-in para enfriadores de agua (chillers) y aire acondicionado de R-22, compatible con aceites minerales.",Fácil sustitución de R-22 sin cambio de lubricante.,Capacidad frigorífica ligeramente inferior en bajas temperaturas.,R-427A,R-427A
25,R-427A,Mezcla Forane 427A,Mezcla R-32/125/143a/134a,HFC,A1,0.0,2138.0,Intermediate,Mineral/POE,Active,#5D6D7E,-43.0,85.3,43.9,"El sustituto drop-in de R-22 más versátil, apto para aire acondicionado y refrigeración de baja y media temperatura.","Excelente retorno de aceite mineral residual, comportamiento termodinámico balanceado.",Glide de 4.5°C.,R-448A,R-448A
26,R-448A,Mezcla Solstice N40,Mezcla HFC/HFO,Blend,A1,0.0,1387.0,Intermediate,POE,Active,#1F618D,-45.9,83.7,46.6,La mezcla ecológica de HFO/HFC de referencia comercial para sustituir al R-404A en supermercados nuevos e instalaciones existentes.,"Reducción del 65% en GWP comparado con R-404A, alta eficiencia energética.",Mayor deslizamiento de temperatura y temperatura de descarga que R-404A.,"R-744, R-290",R-744 (CO2) o R-290 (Sustituto natural definitivo)
27,R-449A,Mezcla Opteon XP40,Mezcla HFC/HFO,Blend,A1,0.0,1397.0,Intermediate,POE,Active,#2874A6,-46.0,83.1,44.5,"Equivalente comercial directo de R-448A fabricado por DuPont/Chemours, ampliamente aceptado en la cadena de frío mundial.","No inflamable, estable termodinámicamente, amigable con el medio ambiente.",Requiere válvulas de expansión ajustadas por el glide.,"R-744, R-454C",R-744 (CO2) o R-290 (Sustituto natural definitivo)
28,R-452A,Mezcla Opteon XP44,Mezcla R-32/125/1234yf,Blend,A1,0.0,2140.0,Intermediate,POE,Active,#E74C3C,-47.0,74.9,40.0,"Reemplazo de R-404A optimizado especialmente para refrigeración de transporte (camiones, contenedores) y compresores semi-herméticos.","Mantiene baja la temperatura de descarga (muy similar al R-404A), protegiendo al motor.","GWP de 2140, superior al de R-448A/R-449A.",R-454C,R-454C
29,R-417A,Mezcla Isceon MO59,Mezcla R-125/134a/600,HFC,A1,0.0,2346.0,Intermediate,Mineral/POE,Phasing Down,#B2BABB,-39.1,86.9,40.4,Primer reemplazo sin cloro comercializado para el aire acondicionado R-22 comercial clásico.,Funciona con aceites minerales clásicos sin modificaciones estructurales.,Pérdida de capacidad frigorífica de hasta un 15% en aplicaciones extremas.,R-427A,R-427A
30,R-422A,Mezcla Isceon MO79,Mezcla R-125/134a/600a,HFC,A1,0.0,3143.0,Intermediate,Mineral/POE,Phasing Down,#566573,-46.5,71.7,37.5,Sustituto directo de R-502 y R-404A en equipos de congelamiento rápido comerciales de baja temperatura.,"Excelente retorno de aceite en bajas temperaturas, no inflamable.",Alto GWP residual.,R-448A,R-448A
31,R-438A,Mezcla Freon MO99,Mezcla R-32/125/134a/600/601a,HFC,A1,0.0,2264.0,Intermediate,Mineral/POE,Active,#2E4053,-43.0,84.7,43.1,El sustituto drop-in preferido por técnicos en Latinoamérica para reconvertir equipos de aire acondicionado de R-22 sin cambiar de aceite.,"Presiones casi idénticas, no inflamable, el más compatible con lubricantes clásicos.",Eficiencia marginalmente menor a R-22.,R-427A,R-427A
32,R-453A,Mezcla RS-70,Mezcla zeotrópica HFC/HC,HFC,A1,0.0,1765.0,Intermediate,Mineral/POE,Active,#2471A3,-42.2,87.2,43.6,Alternativa de bajo impacto relativa diseñada para expandir los rangos de operación de chillers medianos.,"No daña el ozono, menor GWP que R-438A.",No ampliamente distribuido fuera de Europa.,R-427A,R-427A
33,R-502,Mezcla azeotrópica (R-22/115),Mezcla azeotrópica CFC/HCFC,Blend,A1,0.25,4657.0,Intermediate,Mineral,Phased Out,#CB4335,-45.3,82.2,40.7,Clásico compuesto de los años 80 para congelamiento rápido en supermercados. Prohibido formalmente por daño a la capa de ozono.,"Gran estabilidad, sin glide, baja temperatura de descarga.",Gran impacto al ozono y calentamiento global severo.,"R-404A, R-507A",R-404A / R-507A
34,R-454B,Mezcla Opteon XL41 (R-32/1234yf),Mezcla HFC/HFO A2L,Blend,A2L,0.0,466.0,Intermediate,POE,Active,#D5F5E3,-50.9,77.0,52.8,Una de las alternativas clave a largo plazo para R-410A en grandes sistemas de aire acondicionado y chillers comerciales.,"Reducción de GWP en un 78%, eficiencia energética incrementada.",Ligeramente inflamable (A2L).,R-32,R-290 (Propano natural)
35,R-454C,Mezcla Opteon XL20 (R-32/1234yf),Mezcla HFC/HFO A2L,Blend,A2L,0.0,148.0,Intermediate,POE,Active,#ABEBC6,-45.6,85.7,42.0,Desarrollado para cumplir con la limitación de GWP < 150 de la Unión Europea para equipos comerciales de refrigeración medianos.,"Bajísima huella de carbono, seguro para cargas medianas en supermercados.","Ligeramente inflamable, glide moderado.",R-290,R-290 (Propano natural)
36,R-455A,Mezcla Solstice L40X,Mezcla R-32/1234yf/CO2,Blend,A2L,0.0,148.0,Intermediate,POE,Active,#A2D9CE,-52.0,85.6,46.5,Solución innovadora que incluye una pequeña proporción de CO2 para suprimir la inflamabilidad manteniendo un bajo GWP.,"Excelente capacidad a bajas temperaturas, GWP extremadamente bajo.","Deslizamiento térmico muy alto (alrededor de 12°C), de difícil manejo práctico.","R-290, R-744",R-290 o R-744
37,R-458A,Mezcla Bluewater,Mezcla zeotrópica HFC,HFC,A1,0.0,1650.0,Intermediate,POE,Active,#85929E,-42.0,87.0,44.0,Una mezcla de transición con aplicaciones específicas en áreas marítimas y mineras.,"No inflamable, estable químicamente.",Limitada distribución comercial.,R-407C,R-407C
38,R-466A,Mezcla Solstice N41,Mezcla R-32/125/CF3I,Blend,A1,0.0,733.0,Intermediate,POE,Active,#FADBD8,-51.5,79.5,54.0,El primer reemplazo no inflamable (A1) diseñado para sustituir directamente al R-410A en sistemas split residenciales.,Seguridad A1 de bajo GWP. Permite un diseño de equipo clásico.,Estabilidad química bajo sospecha debido al yoduro de trifluorometano (CF3I).,"R-32, R-454B",R-32 o R-454B
39,R-407B,Mezcla HFC R-32/125/134a,Mezcla zeotrópica,HFC,A1,0.0,2800.0,Intermediate,POE,Phasing Down,#9B59B6,-46.0,75.0,40.0,Mezcla dirigida a sistemas de media/baja temperatura comerciales.,"No inflamable, sustitución directa aceptable para R-502.",Elevada huella ecológica de CO2 equivalente.,R-448A,R-448A
40,R-717,Amoníaco Anhidro,NH3,Natural,B2L,0.0,0.0,Industrial,Mineral/Sintético,Active,#BDC3C7,-33.3,132.3,113.3,El refrigerante industrial más eficiente conocido. Utilizado en el 90% de las plantas de procesamiento de alimentos del mundo.,"Eficiencia termodinámica inigualable, coste cero del gas, nulo impacto ambiental (GWP=0, ODP=0).","Altamente tóxico y picante, corrosivo para el cobre (requiere tuberías de acero), ligeramente inflamable.",R-744 en cascada (para reducir carga tóxica),Ninguno (Fluido natural definitivo de máxima eficiencia)
41,R-744,Dióxido de Carbono,CO2,Natural,A1,0.0,1.0,Industrial,POE/PAG,Active,#7F8C8D,-78.4,31.1,73.8,El refrigerante natural que está revolucionando los supermercados e hipermercados modernos en sistemas transcritícos y cascadas industriales.,"Excelente capacidad de refrigeración por volumen, no inflamable, no tóxico, costo mínimo.","Presiones extremadamente altas (hasta 120 bar), temperatura crítica muy baja (31.1°C, requiere operación transcrita).",Ninguna (ya es el estandarte de sostenibilidad),Ninguno (Fluido natural definitivo de alto rendimiento)
42,R-123,Diclorotrifluoroetano,CHCl2CF3,HCFC,B1,0.02,77.0,Industrial,Mineral,Phased Out,#F1948A,27.6,183.7,36.6,Refrigerante de ultra-baja presión para chillers centrífugos industriales que acondicionan grandes edificios y distritos.,Altísima eficiencia termodinámica en bajas presiones de vapor.,"Posee toxicidad crónica leve (B1), sujeto a retiro por contener cloro.",R-1233zd,R-1233zd (HFO de ultra bajo GWP)
43,R-124,Clorotetrafluoroetano,CHClFCF3,HCFC,A1,0.02,609.0,Industrial,Alquilbenceno,Phased Out,#EDBB99,-12.0,122.2,36.2,Utilizado en aplicaciones industriales de temperaturas ambiente muy elevadas (ej. cabinas de grúas en acerías).,Presiones de descarga ultra-bajas a altas temperaturas exteriores.,"Contiene cloro, prohibido para nuevas instalaciones.","R-515B, R-1233zd",R-515B o R-1233zd
44,R-1233zd,"Trans-1-cloro-3,3,3-trifluoropropeno",CF3CH=CHCl,HFO,A1,0.0003,1.0,Industrial,POE,Active,#48C9B0,18.3,165.6,35.7,HFO no inflamable de ultra-bajo GWP diseñado especialmente como sustituto ecológico para chillers centrífugos de R-123.,"Seguro (A1), GWP de 1, excepcional rendimiento energético en baja presión.",Punto de ebullición por encima de la temperatura ambiente habitual (líquido a 1 atm).,R-1224yd,Ninguno (Es la HFO definitiva para chillers centrífugos de baja presión)
45,R-1234ze,"Trans-1,3,3,3-tetrafluoropropeno",CF3CH=CHF,HFO,A2L,0.0,1.0,Industrial,POE,Active,#52BE80,-19.0,109.4,36.3,Gas HFO ecológico para chillers industriales de compresión por tornillo y bombas de calor industriales.,"Eficiencia estable, muy bajo GWP, excelente capacidad de alta temperatura.",Ligeramente inflamable a más de 30°C.,R-515B (no inflamable),R-515B (no inflamable)
46,R-508B,Mezcla Suva 95 (R-23/116),Mezcla azeotrópica,Blend,A1,0.0,13396.0,Industrial,POE,Active,#A569BD,-87.4,14.0,39.3,"Utilizado para refrigeración de ultra-baja temperatura (criogenia, liofilización, almacenamiento de vacunas de -80°C).","Rendimiento óptimo a -80°C, no inflamable y de baja toxicidad.","GWP abismal de más de 13,000, sujeto a severo control ambiental.",R-170 (Etano),R-170 (Etano natural)
47,R-23,Trifluorometano,CHF3,HFC,A1,0.0,14800.0,Industrial,POE,Phasing Down,#8E44AD,-82.1,25.9,48.4,Un HFC que se produce como subproducto no deseado y se emplea en sistemas criogénicos y de medicina científica.,Altas capacidades termodinámicas en frío extremo.,"Tiene la tasa GWP más alta registrada entre los gases refrigerantes de uso regular (14,800).","R-508B, R-170, R-744",R-508B o R-170
48,R-503,Mezcla azeotrópica (R-13/116),Mezcla azeotrópica CFC/PFC,Blend,A1,0.6,14560.0,Industrial,Mineral,Phased Out,#CD6155,-88.0,19.5,44.0,Compuesto clásico de temperatura ultra baja retirado por el Protocolo de Montreal.,Termodinámica inigualable en bajas temperaturas.,Extremadamente nocivo al ozono y atmósfera.,R-508B,R-508B
49,R-718,Agua de alta pureza,H2O,Natural,A1,0.0,0.0,Industrial,Ninguno,Active,#3498DB,100.0,374.0,220.6,El refrigerante natural supremo. Utilizado en chillers de absorción industriales que funcionan por calor residual.,"Totalmente ecológico, costo nulo, segura en toda circunstancia.","Solo utilizable por encima de los 0°C, requiere sistemas de vacío extremos.",Ninguna,Ninguno (Agua - Fluido natural absoluto)
50,R-729,Aire Seco,N2+O2+Ar,Natural,A1,0.0,0.0,Industrial,Ninguno,Active,#BDC3C7,-194.3,-140.5,37.7,"Aire atmosférico comprimido y enfriado, empleado en ciclos criogénicos de gas e industria aeroespacial profunda.","Abundancia infinita, totalmente inocuo.",Muy bajo coeficiente de rendimiento (COP) para enfriamientos moderados comerciales.,Ninguna,Ninguno (Aire - Fluido natural absoluto)
51,R-1150,Etileno,C2H4,Natural,A3,0.0,4.0,Industrial,Sintético,Active,#2ECC71,-103.7,9.2,50.4,Hidrocarburo natural de muy baja temperatura útil en refinerías e industria petroquímica pesada.,Excelentes coeficientes de transferencia y baja viscosidad.,"Inflamabilidad severa, temperatura crítica muy baja (9.2°C).","R-170, R-508B",R-170
52,R-1270,Propileno,CH3CH=CH2,Natural,A3,0.0,2.0,Industrial,Mineral/Sintético,Active,#27AE60,-47.6,92.4,46.2,Alternativa de hidrocarburo de alta capacidad frigorífica en sistemas medianos industriales de refrigeración.,Mayor capacidad volumétrica que el propano R-290.,Inflamable A3.,"R-290, R-454C",R-290
53,R-170,Etano,CH3CH3,Natural,A3,0.0,6.0,Industrial,Mineral,Active,#2ECC71,-88.6,32.2,48.7,Hidrocarburo natural criogénico de gran uso en licuefacción y petroquímica en cascada con CO2 o propileno.,Gran eficiencia a -80°C y muy baja huella ecológica.,Altamente inflamable.,R-508B,Ninguno (Es el hidrocarburo natural criogénico definitivo)
54,R-11,Triclorofluorometano,CCl3F,CFC,A1,1.0,4750.0,Industrial,Mineral,Phased Out,#E74C3C,23.7,198.0,44.1,El refrigerante de gran escala pionero en los años 50 para chillers de edificios. Prohibido mundialmente.,"Muy baja presión, no inflamable.",Impacto altísimo al ozono y calentamiento global.,R-1233zd,R-1233zd
55,R-113,Triclorotrifluoroetano,C2Cl3F3,CFC,A1,0.8,6130.0,Industrial,Mineral,Phased Out,#C0392B,47.6,214.1,34.1,Utilizado históricamente como solvente industrial de limpieza y refrigerante de sistemas térmicos cerrados militares.,Estable bajo condiciones extremas.,Gran destructor del ozono estratosférico.,Fluidos fluorados inertes,Fluidos fluorados inertes
